number,picname,Class,confidence
773,c00773.jpg,Basketball,0.97
774,c00774.jpg,Basketball,1.0
775,c00775.jpg,Basketball,1.0
776,c00776.jpg,Basketball,1.0
777,c00777.jpg,Basketball,1.0
778,c00778.jpg,Basketball,1.0
779,c00779.jpg,Basketball,1.0
780,c00780.jpg,Basketball,1.0
781,c00781.jpg,Basketball,1.0
782,c00782.jpg,Basketball,1.0
783,c00783.jpg,Basketball,1.0
784,c00784.jpg,Basketball,1.0
785,c00785.jpg,Basketball,1.0
786,c00786.jpg,Basketball,1.0
787,c00787.jpg,Basketball,1.0
788,c00788.jpg,Basketball,1.0
789,c00789.jpg,Basketball,1.0
790,c00790.jpg,Basketball,1.0
791,c00791.jpg,Basketball,1.0
792,c00792.jpg,Basketball,0.99
793,c00793.jpg,Basketball,1.0
794,c00794.jpg,Basketball,0.99
795,c00795.jpg,Basketball,0.98
796,c00796.jpg,Basketball,0.96
797,c00797.jpg,Basketball,0.97
798,c00798.jpg,Basketball,0.99
799,c00799.jpg,Basketball,1.0
800,c00800.jpg,Basketball,1.0
801,c00801.jpg,Basketball,1.0
802,c00802.jpg,Basketball,1.0
803,c00803.jpg,Basketball,1.0
804,c00804.jpg,Basketball,1.0
805,c00805.jpg,Basketball,1.0
806,c00806.jpg,Basketball,1.0
807,c00807.jpg,Basketball,1.0
808,c00808.jpg,Basketball,1.0
809,c00809.jpg,Basketball,1.0
810,c00810.jpg,Basketball,1.0
811,c00811.jpg,Basketball,1.0
812,c00812.jpg,Basketball,1.0
813,c00813.jpg,Basketball,1.0
814,c00814.jpg,Basketball,1.0
815,c00815.jpg,Basketball,1.0
816,c00816.jpg,Basketball,1.0
817,c00817.jpg,Basketball,0.99
818,c00818.jpg,Basketball,1.0
819,c00819.jpg,Basketball,1.0
820,c00820.jpg,Basketball,1.0
821,c00821.jpg,Basketball,1.0
822,c00822.jpg,Basketball,1.0
823,c00823.jpg,Basketball,1.0
824,c00824.jpg,Basketball,1.0
825,c00825.jpg,Basketball,1.0
826,c00826.jpg,Basketball,1.0
827,c00827.jpg,Basketball,1.0
828,c00828.jpg,Basketball,1.0
829,c00829.jpg,Basketball,1.0
830,c00830.jpg,Basketball,1.0
831,c00831.jpg,Basketball,1.0
832,c00832.jpg,Basketball,1.0
833,c00833.jpg,Basketball,1.0
834,c00834.jpg,Basketball,1.0
835,c00835.jpg,Basketball,1.0
836,c00836.jpg,Basketball,1.0
837,c00837.jpg,Basketball,0.99
838,c00838.jpg,Made_Shot,0.98
839,c00839.jpg,Made_Shot,1.0
840,c00840.jpg,Made_Shot,1.0
841,c00841.jpg,Made_Shot,1.0
842,c00842.jpg,Made_Shot,1.0
843,c00843.jpg,Made_Shot,1.0
844,c00844.jpg,Made_Shot,1.0
845,c00845.jpg,Basketball,0.99
846,c00846.jpg,Basketball,1.0
847,c00847.jpg,Basketball,1.0
848,c00848.jpg,Basketball,1.0
849,c00849.jpg,Basketball,1.0
850,c00850.jpg,Basketball,1.0
851,c00851.jpg,Basketball,1.0
852,c00852.jpg,Basketball,1.0
853,c00853.jpg,Basketball,1.0
854,c00854.jpg,Basketball,1.0
855,c00855.jpg,Basketball,1.0
856,c00856.jpg,Basketball,1.0
857,c00857.jpg,Basketball,0.8
863,c00863.jpg,Basketball,0.99
864,c00864.jpg,Basketball,1.0
865,c00865.jpg,Basketball,1.0
866,c00866.jpg,Basketball,1.0
867,c00867.jpg,Basketball,1.0
868,c00868.jpg,Basketball,1.0
869,c00869.jpg,Basketball,1.0
870,c00870.jpg,Basketball,1.0
871,c00871.jpg,Basketball,0.99
872,c00872.jpg,Basketball,1.0
873,c00873.jpg,Basketball,1.0
874,c00874.jpg,Basketball,1.0
875,c00875.jpg,Basketball,1.0
876,c00876.jpg,Basketball,1.0
877,c00877.jpg,Basketball,1.0
878,c00878.jpg,Basketball,0.99
879,c00879.jpg,Basketball,1.0
880,c00880.jpg,Basketball,1.0
881,c00881.jpg,Basketball,1.0
882,c00882.jpg,Basketball,1.0
883,c00883.jpg,Basketball,1.0
884,c00884.jpg,Basketball,1.0
885,c00885.jpg,Basketball,1.0
886,c00886.jpg,Basketball,1.0
887,c00887.jpg,Basketball,1.0
888,c00888.jpg,Basketball,1.0
889,c00889.jpg,Basketball,1.0
890,c00890.jpg,Basketball,1.0
891,c00891.jpg,Basketball,1.0
892,c00892.jpg,Basketball,1.0
893,c00893.jpg,Basketball,0.99
894,c00894.jpg,Basketball,1.0
895,c00895.jpg,Basketball,1.0
896,c00896.jpg,Basketball,0.99
897,c00897.jpg,Basketball,0.99
898,c00898.jpg,Basketball,1.0
899,c00899.jpg,Basketball,1.0
900,c00900.jpg,Basketball,1.0
901,c00901.jpg,Basketball,1.0
902,c00902.jpg,Basketball,1.0
904,c00904.jpg,Basketball,1.0
905,c00905.jpg,Basketball,1.0
906,c00906.jpg,Basketball,1.0
907,c00907.jpg,Basketball,1.0
908,c00908.jpg,Basketball,1.0
909,c00909.jpg,Basketball,1.0
910,c00910.jpg,Basketball,1.0
911,c00911.jpg,Basketball,1.0
912,c00912.jpg,Basketball,1.0
913,c00913.jpg,Basketball,1.0
914,c00914.jpg,Basketball,1.0
915,c00915.jpg,Basketball,0.99
916,c00916.jpg,Basketball,1.0
917,c00917.jpg,Basketball,1.0
918,c00918.jpg,Basketball,1.0
919,c00919.jpg,Basketball,1.0
920,c00920.jpg,Basketball,1.0
921,c00921.jpg,Basketball,1.0
922,c00922.jpg,Basketball,1.0
923,c00923.jpg,Basketball,1.0
924,c00924.jpg,Basketball,1.0
925,c00925.jpg,Basketball,1.0
926,c00926.jpg,Basketball,1.0
927,c00927.jpg,Basketball,0.99
928,c00928.jpg,Basketball,1.0
929,c00929.jpg,Basketball,0.99
930,c00930.jpg,Basketball,0.98
931,c00931.jpg,Basketball,0.99
932,c00932.jpg,Basketball,0.99
933,c00933.jpg,Basketball,0.84
941,c00941.jpg,Basketball,0.99
942,c00942.jpg,Basketball,1.0
943,c00943.jpg,Basketball,1.0
944,c00944.jpg,Basketball,1.0
945,c00945.jpg,Basketball,1.0
946,c00946.jpg,Basketball,1.0
947,c00947.jpg,Basketball,1.0
948,c00948.jpg,Basketball,1.0
949,c00949.jpg,Basketball,1.0
950,c00950.jpg,Basketball,1.0
951,c00951.jpg,Basketball,0.99
952,c00952.jpg,Basketball,1.0
953,c00953.jpg,Basketball,0.99
954,c00954.jpg,Basketball,1.0
955,c00955.jpg,Basketball,0.99
956,c00956.jpg,Basketball,1.0
957,c00957.jpg,Basketball,1.0
958,c00958.jpg,Basketball,1.0
959,c00959.jpg,Basketball,0.99
960,c00960.jpg,Basketball,1.0
961,c00961.jpg,Basketball,1.0
962,c00962.jpg,Basketball,0.99
963,c00963.jpg,Basketball,0.99
964,c00964.jpg,Basketball,0.99
965,c00965.jpg,Basketball,1.0
966,c00966.jpg,Basketball,1.0
967,c00967.jpg,Basketball,0.99
968,c00968.jpg,Basketball,1.0
969,c00969.jpg,Basketball,1.0
970,c00970.jpg,Basketball,0.99
971,c00971.jpg,Basketball,0.99
972,c00972.jpg,Basketball,0.98
973,c00973.jpg,Basketball,0.99
974,c00974.jpg,Basketball,1.0
975,c00975.jpg,Basketball,0.99
976,c00976.jpg,Basketball,1.0
977,c00977.jpg,Basketball,1.0
978,c00978.jpg,Basketball,1.0
979,c00979.jpg,Basketball,0.99
980,c00980.jpg,Basketball,1.0
981,c00981.jpg,Basketball,0.99
982,c00982.jpg,Basketball,0.92
983,c00983.jpg,Basketball,0.92
1012,c01012.jpg,Basketball,0.99
1013,c01013.jpg,Basketball,1.0
1014,c01014.jpg,Basketball,1.0
1015,c01015.jpg,Basketball,1.0
1016,c01016.jpg,Basketball,1.0
1017,c01017.jpg,Basketball,1.0
1018,c01018.jpg,Basketball,1.0
1019,c01019.jpg,Basketball,1.0
1020,c01020.jpg,Basketball,1.0
1021,c01021.jpg,Basketball,1.0
1022,c01022.jpg,Basketball,0.97
1023,c01023.jpg,Basketball,0.98
1024,c01024.jpg,Basketball,0.98
1028,c01028.jpg,Basketball,1.0
1029,c01029.jpg,Basketball,1.0
1030,c01030.jpg,Basketball,1.0
1031,c01031.jpg,Basketball,1.0
1032,c01032.jpg,Basketball,1.0
1033,c01033.jpg,Basketball,1.0
1034,c01034.jpg,Basketball,1.0
1035,c01035.jpg,Basketball,1.0
1036,c01036.jpg,Basketball,1.0
1037,c01037.jpg,Basketball,1.0
1038,c01038.jpg,Basketball,0.99
1039,c01039.jpg,Basketball,1.0
1040,c01040.jpg,Basketball,1.0
1041,c01041.jpg,Basketball,1.0
1042,c01042.jpg,Basketball,1.0
1043,c01043.jpg,Basketball,1.0
1044,c01044.jpg,Basketball,1.0
1045,c01045.jpg,Basketball,0.98
1046,c01046.jpg,Basketball,1.0
1047,c01047.jpg,Basketball,1.0
1048,c01048.jpg,Basketball,0.99
1049,c01049.jpg,Basketball,1.0
1050,c01050.jpg,Basketball,1.0
1051,c01051.jpg,Basketball,0.99
1052,c01052.jpg,Basketball,1.0
1053,c01053.jpg,Basketball,1.0
1054,c01054.jpg,Basketball,0.99
1055,c01055.jpg,Basketball,1.0
1056,c01056.jpg,Basketball,1.0
1057,c01057.jpg,Basketball,1.0
1058,c01058.jpg,Basketball,1.0
1059,c01059.jpg,Basketball,1.0
1060,c01060.jpg,Basketball,1.0
1061,c01061.jpg,Basketball,1.0
1062,c01062.jpg,Basketball,1.0
1063,c01063.jpg,Basketball,0.98
1064,c01064.jpg,Basketball,1.0
1065,c01065.jpg,Basketball,0.99
1066,c01066.jpg,Basketball,0.99
1067,c01067.jpg,Basketball,1.0
1068,c01068.jpg,Basketball,0.99
1069,c01069.jpg,Basketball,0.99
1070,c01070.jpg,Basketball,1.0
1071,c01071.jpg,Basketball,0.99
1072,c01072.jpg,Basketball,1.0
1073,c01073.jpg,Basketball,0.99
1074,c01074.jpg,Basketball,1.0
1075,c01075.jpg,Basketball,0.99
1076,c01076.jpg,Basketball,1.0
1077,c01077.jpg,Basketball,1.0
1078,c01078.jpg,Basketball,1.0
1079,c01079.jpg,Basketball,0.89
1080,c01080.jpg,Basketball,0.99
1081,c01081.jpg,Basketball,1.0
1082,c01082.jpg,Basketball,0.99
1083,c01083.jpg,Basketball,0.99
1084,c01084.jpg,Basketball,0.98
1085,c01085.jpg,Basketball,0.99
1086,c01086.jpg,Basketball,1.0
1087,c01087.jpg,Basketball,0.99
1088,c01088.jpg,Basketball,0.99
1089,c01089.jpg,Basketball,0.99
1090,c01090.jpg,Basketball,0.99
1091,c01091.jpg,Basketball,1.0
1092,c01092.jpg,Basketball,1.0
1093,c01093.jpg,Basketball,1.0
1094,c01094.jpg,Basketball,0.99
1095,c01095.jpg,Basketball,0.97
1096,c01096.jpg,Basketball,0.99
1097,c01097.jpg,Basketball,1.0
1098,c01098.jpg,Basketball,1.0
1099,c01099.jpg,Basketball,1.0
1100,c01100.jpg,Basketball,0.99
1101,c01101.jpg,Basketball,0.99
1102,c01102.jpg,Basketball,0.99
1103,c01103.jpg,Basketball,0.99
1104,c01104.jpg,Basketball,1.0
1105,c01105.jpg,Basketball,1.0
1106,c01106.jpg,Basketball,0.99
1107,c01107.jpg,Basketball,1.0
1108,c01108.jpg,Basketball,1.0
1109,c01109.jpg,Basketball,1.0
1110,c01110.jpg,Basketball,1.0
1111,c01111.jpg,Basketball,0.99
1112,c01112.jpg,Basketball,1.0
1113,c01113.jpg,Basketball,0.99
1114,c01114.jpg,Basketball,1.0
1115,c01115.jpg,Basketball,1.0
1116,c01116.jpg,Basketball,1.0
1117,c01117.jpg,Basketball,1.0
1118,c01118.jpg,Basketball,0.99
1120,c01120.jpg,Basketball,0.99
1123,c01123.jpg,Basketball,0.87
1124,c01124.jpg,Basketball,1.0
1125,c01125.jpg,Basketball,1.0
1126,c01126.jpg,Basketball,1.0
1127,c01127.jpg,Basketball,1.0
1128,c01128.jpg,Basketball,0.98
1129,c01129.jpg,Basketball,1.0
1130,c01130.jpg,Basketball,1.0
1131,c01131.jpg,Basketball,1.0
1132,c01132.jpg,Basketball,0.99
1133,c01133.jpg,Basketball,0.99
1134,c01134.jpg,Basketball,1.0
1135,c01135.jpg,Basketball,1.0
1136,c01136.jpg,Basketball,1.0
1137,c01137.jpg,Basketball,0.99
1138,c01138.jpg,Basketball,0.97
1140,c01140.jpg,Basketball,0.99
1141,c01141.jpg,Basketball,1.0
1142,c01142.jpg,Basketball,0.99
1144,c01144.jpg,Basketball,0.99
1145,c01145.jpg,Basketball,0.93
1146,c01146.jpg,Basketball,0.99
1147,c01147.jpg,Basketball,0.99
1148,c01148.jpg,Basketball,1.0
1149,c01149.jpg,Basketball,1.0
1150,c01150.jpg,Basketball,1.0
1151,c01151.jpg,Basketball,0.99
1152,c01152.jpg,Basketball,1.0
1153,c01153.jpg,Basketball,0.99
1154,c01154.jpg,Basketball,1.0
1155,c01155.jpg,Basketball,1.0
1156,c01156.jpg,Basketball,1.0
1157,c01157.jpg,Basketball,1.0
1158,c01158.jpg,Basketball,1.0
1159,c01159.jpg,Basketball,1.0
1160,c01160.jpg,Basketball,1.0
1161,c01161.jpg,Basketball,1.0
1162,c01162.jpg,Basketball,1.0
1163,c01163.jpg,Basketball,1.0
1164,c01164.jpg,Basketball,1.0
1165,c01165.jpg,Basketball,1.0
1166,c01166.jpg,Basketball,0.99
1167,c01167.jpg,Basketball,1.0
1168,c01168.jpg,Basketball,1.0
